Date,Open,High,Low,Close,Adj Close,Volume
2019-04-30,38.360001,38.720001,38.139999,38.689999,37.801102,1533700
2019-05-01,38.740002,38.779999,38.110001,38.320000,37.439606,1622900
2019-05-02,37.930000,38.020000,37.590000,37.910000,37.039032,1464900
2019-05-03,37.919998,38.330002,37.650002,38.270000,37.390759,1134500
2019-05-06,38.189999,38.419998,37.900002,38.209999,37.332134,1600600
2019-05-07,38.119999,38.310001,37.619999,38.230000,37.351677,1339400
2019-05-08,38.290001,38.860001,38.040001,38.590000,37.703407,1369300
2019-05-09,38.380001,38.990002,38.270000,38.959999,38.064903,1113000
2019-05-10,38.810001,38.990002,38.160000,38.740002,37.849957,1271600
2019-05-13,38.610001,39.160000,38.529999,38.720001,37.830421,2179200
2019-05-14,38.720001,38.849998,38.279999,38.669998,37.781567,1109100
2019-05-15,38.660000,39.090000,38.389999,38.980000,38.084446,950600
2019-05-16,39.110001,39.439999,38.860001,38.930000,38.035595,1588400
2019-05-17,38.770000,39.389999,38.750000,39.130001,38.230999,1301000
2019-05-20,39.130001,39.259998,38.689999,38.750000,37.859730,2019800
2019-05-21,38.919998,39.009998,38.220001,38.419998,37.537308,2017800
2019-05-22,38.240002,38.240002,37.770000,37.860001,36.990177,1913400
2019-05-23,37.720001,38.209999,37.549999,38.110001,37.234432,2151800
2019-05-24,38.189999,38.189999,37.509998,37.529999,36.667759,1156900
2019-05-28,37.480000,37.759998,36.639999,36.779999,35.934986,3153000
2019-05-29,36.410000,36.709999,36.020000,36.220001,35.387856,2281000
2019-05-30,36.270000,36.610001,35.750000,35.799999,34.977501,1859500
2019-05-31,35.680000,36.439999,35.270000,36.310001,35.475788,3185100
2019-06-03,36.220001,37.419998,36.220001,37.369999,36.511433,3450100
2019-06-04,37.419998,38.680000,37.419998,38.110001,37.234432,5354500
2019-06-05,40.310001,42.000000,39.900002,41.930000,40.966667,8902400
2019-06-06,41.730000,43.220001,41.660000,43.009998,42.021858,5299500
2019-06-07,43.189999,43.660000,42.669998,43.080002,42.090248,3613200
2019-06-10,43.080002,43.110001,41.580002,42.009998,41.044830,3260300
2019-06-11,41.950001,42.540001,41.720001,42.529999,41.552883,2300800
2019-06-12,42.680000,43.060001,42.270000,42.430000,41.455185,2611900
2019-06-13,42.419998,42.720001,42.119999,42.639999,41.660358,2331000
2019-06-14,42.740002,42.740002,42.150002,42.259998,41.289085,1823200
2019-06-17,42.220001,42.220001,40.889999,41.369999,40.419533,2905200
2019-06-18,41.520000,41.639999,40.610001,40.860001,39.921257,2396500
2019-06-19,40.759998,41.380001,40.700001,41.259998,40.312061,2163500
2019-06-20,41.279999,41.459999,40.599998,41.029999,40.087345,1820200
2019-06-21,41.060001,41.259998,40.599998,40.689999,39.755157,4017000
2019-06-24,40.889999,41.090000,40.419998,40.529999,39.598831,3297900
2019-06-25,40.500000,41.130001,40.500000,41.040001,40.097118,2922100
2019-06-26,40.500000,40.919998,40.049999,40.459999,39.530441,3931800
2019-06-27,40.070000,40.130001,39.240002,39.750000,38.836754,2590800
2019-06-28,39.880001,40.259998,39.770000,40.070000,39.149403,3221400
2019-07-01,40.439999,40.580002,39.779999,40.119999,39.198254,1865500
2019-07-02,40.270000,40.680000,39.990002,40.639999,39.706306,1984700
2019-07-03,40.849998,41.779999,40.810001,41.669998,40.712643,1625400
2019-07-05,41.470001,41.660000,40.810001,41.570000,40.614941,1615000
2019-07-08,41.580002,41.650002,41.290001,41.500000,40.546547,1275100
2019-07-09,41.570000,41.610001,41.180000,41.459999,40.507462,1586800
2019-07-10,41.500000,41.669998,41.320000,41.400002,40.448845,2645400
2019-07-11,41.230000,41.230000,40.389999,40.869999,40.271481,1284200
2019-07-12,40.910000,41.049999,40.759998,40.919998,40.320747,1056600
2019-07-15,40.950001,41.270000,40.709999,41.119999,40.517818,1227500
2019-07-16,41.169998,41.410000,41.090000,41.290001,40.685333,1550600
2019-07-17,41.380001,41.490002,41.080002,41.349998,40.744450,1022800
2019-07-18,41.529999,41.770000,41.270000,41.680000,41.069618,1101500
2019-07-19,41.650002,41.799999,41.230000,41.270000,40.665623,1388600
2019-07-22,41.279999,41.410000,40.950001,41.139999,40.537525,1374800
2019-07-23,41.290001,41.639999,41.060001,41.470001,40.862698,1427200
2019-07-24,41.330002,41.330002,40.380001,40.520000,39.926609,1517000
2019-07-25,40.330002,40.660000,40.029999,40.400002,39.808365,1483200
2019-07-26,40.580002,41.070000,40.180000,40.959999,40.360161,1224600
2019-07-29,41.020000,41.419998,40.810001,41.340000,40.734600,1384800
2019-07-30,41.369999,41.790001,41.169998,41.660000,41.049911,1749500
2019-07-31,41.650002,41.750000,40.820000,41.340000,40.734600,1532200
2019-08-01,41.529999,42.470001,41.529999,42.110001,41.493320,2265900
2019-08-02,42.250000,42.720001,41.860001,42.340000,41.719952,1957700
2019-08-05,42.099998,42.290001,40.820000,41.209999,40.606503,1621700
2019-08-06,41.180000,41.430000,40.689999,41.259998,40.655769,1421600
2019-08-07,41.169998,41.730000,40.610001,41.570000,40.961231,2088000
2019-08-08,41.209999,42.130001,41.150002,42.029999,41.414490,1692300
2019-08-09,42.150002,42.700001,41.650002,41.790001,41.178009,1252300
2019-08-12,41.750000,42.299999,41.619999,42.110001,41.493320,1290100
2019-08-13,42.060001,42.570000,41.790001,42.259998,41.641125,1526000
2019-08-14,42.230000,42.240002,41.380001,41.459999,40.852837,1626000
2019-08-15,41.470001,42.349998,41.259998,42.160000,41.542587,1266200
2019-08-16,42.410000,42.720001,42.189999,42.639999,42.015560,935800
2019-08-19,42.660000,43.369999,42.470001,43.189999,42.557507,2145700
2019-08-20,43.430000,43.430000,42.810001,43.080002,42.449116,2634000
2019-08-21,43.290001,43.759998,42.869999,43.270000,42.636337,4363900
2019-08-22,43.270000,43.840000,43.270000,43.680000,43.040329,1120300
2019-08-23,43.680000,43.700001,42.400002,42.680000,42.054974,1531200
2019-08-26,42.830002,43.110001,42.410000,42.660000,42.035267,1581500
2019-08-27,42.599998,42.660000,41.669998,42.049999,41.434200,1829100
2019-08-28,41.980000,42.080002,41.560001,41.970001,41.355373,1641800
2019-08-29,42.230000,43.520000,41.889999,43.310001,42.675751,4164400
2019-08-30,44.919998,48.029999,44.750000,45.000000,44.341000,11450600
2019-09-03,44.810001,45.500000,44.139999,45.430000,44.764702,3118200
2019-09-04,45.700001,46.200001,45.049999,45.070000,44.409977,2396600
2019-09-05,45.130001,45.130001,44.270000,44.619999,43.966560,2129300
2019-09-06,44.779999,45.200001,44.529999,44.980000,44.321293,1851600
2019-09-09,45.070000,45.080002,44.110001,44.590000,43.937004,2620300
2019-09-10,44.430000,45.939999,44.299999,45.889999,45.217964,3165200
2019-09-11,45.889999,46.660000,45.639999,46.660000,45.976688,3144400
2019-09-12,46.900002,47.459999,46.889999,47.150002,46.459515,4153800
2019-09-13,46.889999,47.349998,46.009998,46.279999,45.602253,4608600
2019-09-16,46.070000,46.779999,45.820000,46.740002,46.055523,1932200
2019-09-17,46.570000,47.119999,46.439999,46.689999,46.006252,2841700
2019-09-18,46.709999,46.939999,46.119999,46.580002,45.897861,2606700
2019-09-19,46.590000,46.730000,46.180000,46.610001,45.927425,1859200
2019-09-20,46.490002,47.250000,46.490002,46.759998,46.075222,7062000
2019-09-23,46.910000,47.040001,46.660000,46.660000,45.976688,1421800
2019-09-24,46.849998,46.939999,46.130001,46.150002,45.474159,1481600
2019-09-25,46.259998,46.889999,46.230000,46.560001,45.878159,2179800
2019-09-26,46.910000,46.939999,46.419998,46.700001,46.016106,1334800
2019-09-27,46.730000,46.980000,46.410000,46.869999,46.183617,1167400
2019-09-30,46.849998,47.270000,46.790001,46.919998,46.232880,1630700
